__DATA_FETCH__,4078170
ucsc_table_direct1,610466
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.73+galaxy0,511270
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.74+galaxy0,471815
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.2.1+galaxy1,262733
CONVERTER_gz_to_uncompressed,214483
toolshed.g2.bx.psu.edu/repos/bgruening/autodock_vina/docking/1.2.3+galaxy0,200850
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.14.6+galaxy1,188307
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.23.2+galaxy0,153701
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate/1.0.1,150683
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.38.1,147455
Filter1,134661
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/2.0.3+galaxy2,134186
toolshed.g2.bx.psu.edu/repos/bgruening/sdf_to_tab/sdf_to_tab/2020.03.4+galaxy0,132909
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.5.0+galaxy0,128972
toolshed.g2.bx.psu.edu/repos/bgruening/align_it/ctb_alignit/1.0.4+galaxy0,114767
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.38.0,105352
Cut1,99251
toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/2.0.1+galaxy2,95839
__SET_METADATA__,91330
toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.6.7+galaxy0,87565
Grep1,81739
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.2,77196
toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.2.1+galaxy1,68022
toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt/4.0+galaxy1,67504
toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.9.1+galaxy1,62920
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.11+galaxy1,58506
