__DATA_FETCH__,924659
upload1,463638
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate/1.0.1,391048
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.74+galaxy0,110903
toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.73+galaxy0,104104
CONVERTER_gz_to_uncompressed,76118
toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.36.6,74788
toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.14.6+galaxy1,64234
Filter1,43779
toolshed.g2.bx.psu.edu/repos/iuc/kraken2/kraken2/2.1.1+galaxy1,37859
Grep1,33368
toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/2.0.15+galaxy0,33305
toolshed.g2.bx.psu.edu/repos/devteam/column_maker/Add_a_column1/2.0,32831
toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.2.1+galaxy1,28488
toolshed.g2.bx.psu.edu/repos/nml/mob_suite/mob_recon/3.0.3+galaxy0,24774
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_filter/4.3+t.galaxy1,24039
toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.5.0+galaxy0,22586
toolshed.g2.bx.psu.edu/repos/iuc/snpsift/snpSift_extractFields/4.3+t.galaxy0,22354
toolshed.g2.bx.psu.edu/repos/iuc/snippy/snippy/4.6.0+galaxy0,22281
toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta/1.1.1,20012
CONVERTER_fasta_to_tabular,19510
toolshed.g2.bx.psu.edu/repos/iuc/abricate/abricate_summary/1.0.1,19101
toolshed.g2.bx.psu.edu/repos/galaxyp/eggnog_mapper/eggnog_mapper/2.1.8+galaxy3,18982
cat1,18879
toolshed.g2.bx.psu.edu/repos/iuc/snpeff_sars_cov_2/snpeff_sars_cov_2/4.5covid19,18637
toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a+galaxy1,18130
toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.11+galaxy1,18050
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.2,17915
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.23.2+galaxy0,17815
toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop/0.2.4+galaxy0,17407
toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.2+galaxy2,17267
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_filter/lofreq_filter/2.1.5+galaxy0,16874
toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/2.14.1+galaxy1,16499
toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,16206
__SET_METADATA__,16018
toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.20.1+galaxy0,15585
toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.9+galaxy2,14803
toolshed.g2.bx.psu.edu/repos/iuc/lofreq_viterbi/lofreq_viterbi/2.1.5+galaxy0,14746
toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/5.2.0+galaxy1,14512
toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/2.18.2.2,14316
